Sequence_ID	Progeny_Cell_ID
17_0_Blood_1_0	17_0_Blood_0_0
17_0_Blood_1_1	17_0_Blood_0_0
17_0_Blood_1_2	17_0_Blood_0_0
17_0_Blood_1_3	17_0_Blood_0_0
17_0_Blood_1_4	17_0_Blood_0_0
17_0_Blood_1_5	17_0_Blood_0_0
17_0_Blood_1_6	17_0_Blood_0_0
17_0_Blood_1_7	17_0_Blood_0_0
17_0_Blood_1_8	17_0_Blood_0_0
17_0_Blood_1_9	17_0_Blood_0_0
17_0_Blood_1_10	17_0_Blood_0_0
17_0_Blood_1_11	17_0_Blood_0_0
17_0_Blood_1_12	17_0_Blood_0_0
17_0_Blood_1_13	17_0_Blood_0_0
17_0_Blood_1_14	17_0_Blood_0_0
17_0_Blood_1_15	17_0_Blood_0_0
17_0_Blood_1_16	17_0_Blood_0_0
17_0_Blood_1_17	17_0_Blood_0_0
